eventid,occurrenceid,measurementtype,measurementvalue,measurementunit
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366479:occurrence-detections,transmitter sensor value,6,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366478:occurrence-detections,transmitter sensor value,9,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366477:occurrence-detections,transmitter sensor value,9,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366476:occurrence-detections,transmitter sensor value,19,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366475:occurrence-detections,transmitter sensor value,6,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366474:occurrence-detections,transmitter sensor value,6,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366473:occurrence-detections,transmitter sensor value,12,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366472:occurrence-detections,transmitter sensor value,18,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366471:occurrence-detections,transmitter sensor value,18,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366470:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366469:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366468:occurrence-detections,transmitter sensor value,17,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366467:occurrence-detections,transmitter sensor value,22,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366466:occurrence-detections,transmitter sensor value,51,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366465:occurrence-detections,transmitter sensor value,55,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366464:occurrence-detections,transmitter sensor value,36,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366463:occurrence-detections,transmitter sensor value,45,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366462:occurrence-detections,transmitter sensor value,43,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366461:occurrence-detections,transmitter sensor value,37,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366460:occurrence-detections,transmitter sensor value,42,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366459:occurrence-detections,transmitter sensor value,31,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366458:occurrence-detections,transmitter sensor value,28,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366457:occurrence-detections,transmitter sensor value,14,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366456:occurrence-detections,transmitter sensor value,48,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366455:occurrence-detections,transmitter sensor value,45,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366454:occurrence-detections,transmitter sensor value,39,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366453:occurrence-detections,transmitter sensor value,46,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366452:occurrence-detections,transmitter sensor value,44,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366451:occurrence-detections,transmitter sensor value,47,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366450:occurrence-detections,transmitter sensor value,43,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366449:occurrence-detections,transmitter sensor value,38,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366448:occurrence-detections,transmitter sensor value,46,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366447:occurrence-detections,transmitter sensor value,44,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366446:occurrence-detections,transmitter sensor value,44,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366445:occurrence-detections,transmitter sensor value,41,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366444:occurrence-detections,transmitter sensor value,21,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366443:occurrence-detections,transmitter sensor value,23,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366442:occurrence-detections,transmitter sensor value,27,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366441:occurrence-detections,transmitter sensor value,47,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366440:occurrence-detections,transmitter sensor value,29,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366439:occurrence-detections,transmitter sensor value,31,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366438:occurrence-detections,transmitter sensor value,37,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366437:occurrence-detections,transmitter sensor value,46,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366436:occurrence-detections,transmitter sensor value,51,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366435:occurrence-detections,transmitter sensor value,26,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366434:occurrence-detections,transmitter sensor value,25,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366433:occurrence-detections,transmitter sensor value,34,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366432:occurrence-detections,transmitter sensor value,11,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366431:occurrence-detections,transmitter sensor value,13,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366430:occurrence-detections,transmitter sensor value,21,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366429:occurrence-detections,transmitter sensor value,23,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366428:occurrence-detections,transmitter sensor value,27,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366427:occurrence-detections,transmitter sensor value,17,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366426:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366425:occurrence-detections,transmitter sensor value,12,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366424:occurrence-detections,transmitter sensor value,13,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366423:occurrence-detections,transmitter sensor value,10,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366422:occurrence-detections,transmitter sensor value,25,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366421:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366420:occurrence-detections,transmitter sensor value,11,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366419:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366418:occurrence-detections,transmitter sensor value,9,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366417:occurrence-detections,transmitter sensor value,15,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366416:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366415:occurrence-detections,transmitter sensor value,11,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366414:occurrence-detections,transmitter sensor value,13,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366413:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366412:occurrence-detections,transmitter sensor value,9,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366411:occurrence-detections,transmitter sensor value,12,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366410:occurrence-detections,transmitter sensor value,20,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366409:occurrence-detections,transmitter sensor value,15,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366408:occurrence-detections,transmitter sensor value,11,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366407:occurrence-detections,transmitter sensor value,13,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366406:occurrence-detections,transmitter sensor value,14,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366405:occurrence-detections,transmitter sensor value,15,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366404:occurrence-detections,transmitter sensor value,13,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366403:occurrence-detections,transmitter sensor value,15,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366402:occurrence-detections,transmitter sensor value,12,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366401:occurrence-detections,transmitter sensor value,40,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366400:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366399:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366398:occurrence-detections,transmitter sensor value,20,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366397:occurrence-detections,transmitter sensor value,12,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366396:occurrence-detections,transmitter sensor value,42,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366395:occurrence-detections,transmitter sensor value,20,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366394:occurrence-detections,transmitter sensor value,45,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366393:occurrence-detections,transmitter sensor value,37,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366392:occurrence-detections,transmitter sensor value,26,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366391:occurrence-detections,transmitter sensor value,17,ADC
